session_id,packets_amount,packets_size_all,packets_size_avg,packets_size_dis,avg_time_between,avg_time_dis
216,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0
524,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
229,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.0,0.0
205,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.00067212770426381,0.0
570,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
49,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.002310438983406847,0.0
16,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,4.200798151648813e-05,0.0
378,0.0,0.0,0.0,0.0,0.0,0.0
220,7.072635971426552e-05,5.373962435471814e-06,0.01391650099403579,0.0,0.18886788489813064,0.007106062939414606
349,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.0,0.0
616,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
500,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
10,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.0006301197227473219,0.0
303,3.5363179857132754e-05,3.582641623647876e-06,0.023856858846918495,0.0,0.9999999999999999,0.0
485,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
490,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
157,0.0001768158992856638,1.0349853579427198e-05,0.0019880715705765453,0.0,0.07561436672967864,0.018137589218647363
154,0.00035363179857132753,5.2379547442037e-05,0.08846918489065606,0.003069134360058428,8.401596303297626e-05,0.0
505,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
260,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.057929006511237134,0.0
292,0.0,0.0,0.0,0.0,0.0,0.0
438,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
108,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.0,0.0
403,0.0,0.0,0.0,0.0,0.0,0.0
165,0.23484687743121863,0.2031372064829625,0.8568260437375744,0.200123355755198,0.0003780718336483932,0.0
477,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
95,0.00035363179857132753,4.88300784260155e-05,0.07880019880715705,0.00354695027913177,8.401596303297626e-05,0.0
450,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
140,0.0005304476978569913,3.834753441608282e-05,0.015904572564612328,0.0,0.09976895610165931,0.023241634425904913
497,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
50,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.0013862633900441083,0.0
41,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.0,0.0
334,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.023020373871035494,0.0
278,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,8.401596303297626e-05,0.0
610,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0,0.0,0.0
441,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0
535,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
373,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
597,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
641,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
310,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.002184415038857383,0.0
176,0.3527477190748992,0.28474706251583576,0.7956769383697813,0.20514100839832997,0.0001680319260659525,0.0
512,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
387,0.0,0.0,0.0,0.0,0.0,0.0
583,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
425,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0,0.0,0.0
638,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0
689,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
353,0.0,0.0,0.0,0.0,0.0,0.0
337,0.0,0.0,0.0,0.0,0.0,0.0
476,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0,0.0,0.0
298,0.0006011740575712569,0.0003020365924380918,0.44648807157057646,0.159581936803075,0.01281243436252888,0.0016154428796369337
632,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
282,0.0,0.0,0.0,0.0,0.0,0.0
222,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
374,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.053896240285654276,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0
488,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0,0.0,0.0
267,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.0,0.0
389,0.0,0.0,0.0,0.0,0.0,0.0
611,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
259,0.0,0.0,0.0,0.0,0.0,0.0
426,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
18,0.00014145271942853102,7.745803880757215e-05,0.4165009940357853,0.0,0.3650073513967654,0.11057297936067431
279,0.0001768158992856638,9.951782287910767e-06,0.0,0.0,0.01235034656584751,0.00040857504737899103
43,3.5363179857132754e-05,1.9903564575821534e-06,0.0,0.0,0.0017643352236925015,0.0
88,3.5363179857132754e-05,4.909545928702645e-06,0.04373757455268389,0.0,0.0,0.0
487,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
533,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
297,0.0020864276115708327,0.00042895498921658045,0.15558349900596422,0.1663930503895187,0.08376391514387733,0.1361686346364782
435,0.0,4.6441650676916913e-07,0.01391650099403579,0.0,0.0,0.0
